Orders,Units,Price/unit,Sales,Date,Status,Product Line,MSRP,City,State,Country
10100,30,100,5151,1/6/2003,Shipped,Vintage Cars,170,Nashua,NH,USA
10100,50,67.8,3390,1/6/2003,Shipped,Vintage Cars,60,Nashua,NH,USA
10100,22,86.51,1903,1/6/2003,Shipped,Vintage Cars,92,Nashua,NH,USA
10100,49,34.47,1689,1/6/2003,Shipped,Vintage Cars,41,Nashua,NH,USA
10101,25,100,3782,1/9/2003,Shipped,Vintage Cars,127,Frankfurt,,Germany
10101,26,100,3773,1/9/2003,Shipped,Vintage Cars,168,Frankfurt,,Germany
10101,45,31.2,1404,1/9/2003,Shipped,Vintage Cars,33,Frankfurt,,Germany
10101,46,53.76,2473,1/9/2003,Shipped,Vintage Cars,44,Frankfurt,,Germany
10102,39,100,4808,1/10/2003,Shipped,Vintage Cars,102,NYC,NY,USA
10102,41,50.14,2056,1/10/2003,Shipped,Vintage Cars,53,NYC,NY,USA
10103,26,100,5405,1/29/2003,Shipped,Classic Cars,214,Stavern,,Norway
10103,42,100,5398,1/29/2003,Shipped,Classic Cars,147,Stavern,,Norway
10103,27,100,3395,1/29/2003,Shipped,Trucks and Buses,136,Stavern,,Norway
10103,35,100,3920,1/29/2003,Shipped,Trucks and Buses,116,Stavern,,Norway
10103,22,54.09,1190,1/29/2003,Shipped,Trucks and Buses,60,Stavern,,Norway
10103,27,83.07,2243,1/29/2003,Shipped,Vintage Cars,101,Stavern,,Norway
10103,35,57.46,2011,1/29/2003,Shipped,Vintage Cars,62,Stavern,,Norway
10103,25,100,2540,1/29/2003,Shipped,Vintage Cars,104,Stavern,,Norway
10103,46,100,4792,1/29/2003,Shipped,Vintage Cars,99,Stavern,,Norway
10103,36,100,4228,1/29/2003,Shipped,Trucks and Buses,121,Stavern,,Norway
10103,41,47.29,1939,1/29/2003,Shipped,Vintage Cars,50,Stavern,,Norway
10103,36,100,3680,1/29/2003,Shipped,Trucks and Buses,127,Stavern,,Norway
10103,25,100,2873,1/29/2003,Shipped,Vintage Cars,97,Stavern,,Norway
10103,31,100,3224,1/29/2003,Shipped,Trucks and Buses,96,Stavern,,Norway
